GRE,TOEFL,CGPA,Research,AdmissionChance
290,110,9.417735792160709,1,1.0
333,114,8.731445799428915,1,1.0
292,117,8.301667927424475,0,1.0
268,113,9.827698829995601,1,1.0
335,114,8.249586128954103,0,1.0
287,107,6.0386218512585685,0,1.0
322,101,7.136497020174344,0,1.0
289,97,9.924896834895804,1,1.0
312,104,7.337706812949841,1,1.0
323,119,6.89368387339227,0,1.0
299,109,6.720738465401293,0,1.0
339,102,9.691182465682267,1,1.0
314,108,9.115689472142687,0,1.0
273,118,8.123005118664011,0,1.0
283,117,7.002123837993414,1,1.0
301,115,6.160385674426367,0,1.0
316,116,8.611977303257211,0,1.0
313,95,9.069414478614394,0,1.0
284,107,7.308579487949332,0,1.0
294,105,6.351505974518968,0,1.0
303,99,8.323340591048014,0,1.0
285,109,6.624601925796811,0,1.0
265,98,7.9982941992866605,1,1.0
272,105,6.835180935138573,0,1.0
304,110,7.1212877651468975,1,1.0
265,111,6.948512086358215,1,1.0
296,116,6.133311046620261,1,1.0
318,93,8.571838636286206,0,1.0
332,94,9.750221267715887,1,1.0
295,119,9.059941086632161,1,1.0
285,95,6.813806296953414,0,1.0
309,110,8.62396640465144,0,1.0
339,109,6.842775448945032,1,1.0
315,115,7.885487532619647,0,1.0
334,102,9.167368056854219,0,1.0
319,100,8.101957959582048,1,1.0
304,119,6.081447085980631,1,1.0
299,107,6.880442641860247,0,1.0
275,100,7.794838192676158,1,1.0
280,103,8.248446174727569,1,1.0
278,93,8.155843502736703,0,1.0
285,101,7.231556559238959,0,1.0
284,108,8.191397745576571,1,1.0
330,115,7.596960776251049,0,1.0
293,118,6.425182747692039,0,1.0
266,96,9.36266612955492,0,1.0
290,103,9.613557142089542,0,1.0
274,110,9.898620390218086,0,1.0
290,94,7.249214410877685,0,1.0
316,116,9.213369166867611,1,1.0
314,97,9.93578002533182,0,1.0
267,111,8.718337097174516,1,1.0
337,101,7.101227396087638,0,1.0
319,92,9.113854711058574,0,1.0
334,98,7.1757127257072995,1,1.0
268,119,9.556854140183201,1,1.0
291,93,8.430177012641504,1,1.0
306,99,8.093426410590975,1,1.0
295,100,6.248493093992975,1,1.0
295,101,8.641987443254811,1,1.0
277,109,7.571288953690255,1,1.0
306,111,9.309411364534636,0,1.0
279,111,6.3235971835303,1,1.0
299,117,6.830228335811657,1,1.0
290,91,8.872140630345097,1,1.0
301,96,7.6581499287652885,1,1.0
334,104,8.17609365273579,0,1.0
303,117,9.166979668649498,0,1.0
276,102,8.178494851941455,1,1.0
274,111,7.819933933924359,0,1.0
288,119,7.021592366741718,0,1.0
333,102,9.325640541074524,1,1.0
280,112,8.23189467251796,1,1.0
279,93,7.49830204390671,1,1.0
268,114,9.91573492380947,1,1.0
332,112,8.687194894284595,1,1.0
331,108,9.895602370751174,1,1.0
324,96,6.6772886128011075,0,1.0
289,113,6.389412176136602,0,1.0
334,114,6.147074892248361,1,1.0
268,98,7.728852136724499,0,1.0
260,92,8.083397943509652,1,1.0
278,111,8.197725135630467,1,1.0
317,114,9.592146435440965,0,1.0
283,96,9.787554713079263,1,1.0
327,91,9.044804162039137,1,1.0
339,114,9.418874066734736,0,1.0
294,116,7.5440790999893235,1,1.0
307,98,7.268044215730523,0,1.0
289,105,9.081211927449147,1,1.0
335,95,9.252010351230961,1,1.0
298,99,9.583545744534204,1,1.0
322,105,6.035066398127782,1,1.0
328,110,7.15783620978899,1,1.0
302,98,6.701875434112077,1,1.0
334,119,7.827291922297303,1,1.0
270,108,9.123355479278262,0,1.0
268,107,7.366625841918455,1,1.0
302,114,6.2341699741972425,0,1.0
263,104,7.357189057626913,0,1.0
297,95,7.147200427751739,1,1.0
279,108,8.021089323972626,1,1.0
326,115,9.79569570975084,1,1.0
291,110,8.73280035033452,1,1.0
301,108,6.347717058801679,1,1.0
319,115,7.880976339813284,0,1.0
294,116,7.974601045166759,0,1.0
322,118,8.431146823850947,0,1.0
290,100,6.285635804370344,0,1.0
279,114,7.004857778161534,1,1.0
279,109,8.849052431781814,0,1.0
322,90,7.469692288922602,1,1.0
267,102,9.750414567711545,0,1.0
336,93,6.535366946873905,0,1.0
290,110,8.395475841695362,0,1.0
304,102,6.766661028457955,0,1.0
281,112,8.010355352132136,0,1.0
337,107,6.314634049105665,0,1.0
267,114,6.915209769664929,0,1.0
338,91,6.7332959104574615,1,1.0
291,99,6.604149349145295,0,1.0
314,113,6.808348100239366,0,1.0
284,96,9.53842625913643,1,1.0
302,95,6.477833483151212,0,1.0
266,102,8.673618024336346,1,1.0
327,119,6.770958542106064,0,1.0
299,118,7.722487169769181,1,1.0
319,115,9.446714762509604,0,1.0
295,95,8.324812166749087,1,1.0
324,110,6.574561874507111,1,1.0
296,92,7.232787628536888,0,1.0
317,113,6.839722999987218,1,1.0
333,97,8.280816839311708,1,1.0
336,117,7.1214092716548345,1,1.0
326,106,8.004417740496823,1,1.0
319,95,9.955928021851909,0,1.0
288,103,7.238323169180818,0,1.0
327,106,6.263895712633611,1,1.0
303,95,9.933340452108434,1,1.0
308,108,9.671832211888434,1,1.0
280,96,9.545942046993048,0,1.0
264,111,6.070064701237486,0,1.0
293,98,7.918020343358613,0,1.0
307,91,8.307881074019166,0,1.0
310,95,8.22183263000213,0,1.0
264,109,7.117276688475923,1,1.0
291,111,8.825305837112916,0,1.0
335,108,6.25267916763236,0,1.0
303,95,8.738811851309219,1,1.0
281,118,7.749932266110069,1,1.0
300,96,6.607234629467764,1,1.0
294,99,9.676964191063817,1,1.0
290,119,6.066724307671192,1,1.0
331,96,9.29479372182398,1,1.0
286,95,6.571695941617692,0,1.0
260,108,9.769080180316957,0,1.0
286,97,6.659269128310364,0,1.0
307,97,8.677838003411926,0,1.0
271,94,6.9876273343726965,1,1.0
287,101,6.656311202060079,1,1.0
323,109,9.179904581346015,1,1.0
298,116,6.640446078782669,0,1.0
285,94,6.600654660556376,0,1.0
289,118,9.715363402431462,1,1.0
296,114,7.277907525884597,0,1.0
294,116,8.63667640870947,0,1.0
297,119,8.53455076824297,1,1.0
301,119,6.020528285375059,1,1.0
315,110,9.268787739552078,0,1.0
292,116,8.015881372477303,0,1.0
313,100,9.656690888808637,0,1.0
270,105,6.915774331644671,0,1.0
303,93,6.270757267376079,1,1.0
279,95,6.509978526303151,0,1.0
266,108,7.803485429811198,0,1.0
291,92,9.53274789798348,0,1.0
318,114,8.034303132086832,1,1.0
266,111,8.88869900735743,0,1.0
289,117,8.883423381224073,1,1.0
287,117,7.056901405600034,1,1.0
276,108,8.0365567869654,0,1.0
274,103,8.701186843090088,0,1.0
332,98,7.603145668306183,1,1.0
311,96,6.509279320038333,0,1.0
295,107,8.567999270052727,0,1.0
277,91,6.196357593460949,0,1.0
328,99,8.413692251874869,0,1.0
319,103,9.399342695452344,1,1.0
303,117,9.193445854410097,1,1.0
308,100,7.164283206961256,1,1.0
264,93,9.135682558769485,0,1.0
293,108,7.679850024257202,1,1.0
327,92,6.498774147899622,0,1.0
277,92,6.09108341762486,1,1.0
315,106,6.962696077786841,0,1.0
273,105,7.294657120583894,0,1.0
263,103,9.69816728226651,1,1.0
300,100,9.704765550032509,1,1.0
326,116,8.124032841274994,0,1.0
262,103,9.479149363549633,0,1.0
327,114,9.21642764201688,1,1.0
274,119,7.109583394574825,0,1.0
323,97,8.75124822132121,1,1.0
286,99,6.199699520873921,0,1.0
270,94,9.388944990257809,1,1.0
275,101,8.056325478079824,0,1.0
273,92,9.89671816113529,0,1.0
277,118,9.929240922934456,1,1.0
263,100,7.039397304881531,1,1.0
337,104,6.3085680734630065,1,1.0
301,109,8.71833470295929,1,1.0
327,114,9.339540680861115,0,1.0
330,104,7.6084558814475205,0,1.0
326,109,6.448855332747691,1,1.0
263,96,7.9543890445107674,1,1.0
284,114,6.016323818752012,1,1.0
276,100,8.590932336160934,1,1.0
281,90,6.20076253099581,1,1.0
311,99,7.667341503267511,0,1.0
302,115,6.329366344762843,0,1.0
324,112,9.586892754411052,0,1.0
338,98,8.005063852273572,0,1.0
265,106,9.613823853284822,1,1.0
294,112,8.352312181511046,1,1.0
296,96,8.33194962860416,1,1.0
266,91,9.942418841007004,1,1.0
298,96,7.2419205986794,0,1.0
306,91,7.9161608167551325,0,1.0
307,110,6.326696307062017,1,1.0
303,119,8.811781321573578,1,1.0
314,97,7.90105161912034,0,1.0
311,98,7.303743360085621,1,1.0
333,100,6.621487234385829,1,1.0
317,113,6.091092908434254,0,1.0
321,107,8.35412657418492,0,1.0
311,92,7.279688958600012,0,1.0
335,92,6.378347980325706,0,1.0
279,108,7.330823880292202,0,1.0
300,93,6.529375642295287,1,1.0
300,91,9.174356782398851,0,1.0
291,99,9.376474033934674,0,1.0
276,97,6.6016435089644165,0,1.0
311,94,8.324363487246824,0,1.0
327,118,6.676950589514776,0,1.0
301,101,6.238519419029075,1,1.0
302,110,7.684820764698346,1,1.0
269,117,8.704738455157532,1,1.0
262,106,8.749685056891185,1,1.0
263,98,8.287655979598567,0,1.0
280,95,9.804487076689158,1,1.0
339,115,6.462004979774632,0,1.0
288,119,7.678167024841159,0,1.0
268,117,7.304641605286964,0,1.0
267,107,9.989234178921166,1,1.0
313,101,8.260984683289445,1,1.0
284,92,6.278565412143875,1,1.0
331,90,9.58757322765777,0,1.0
332,104,7.4111285295947305,1,1.0
314,114,7.9099213337862455,0,1.0
303,99,6.448675974095234,0,1.0
280,103,6.4561428046469205,0,1.0
338,117,8.12451187725258,0,1.0
319,116,6.608101053883061,0,1.0
278,99,9.641124423340562,0,1.0
277,109,9.036988278452545,1,1.0
319,115,7.360633707680133,1,1.0
288,108,7.020135519692381,0,1.0
311,95,7.093776912174599,0,1.0
263,112,9.335665821543639,0,1.0
323,106,7.860935901322471,1,1.0
290,113,7.935857685645444,1,1.0
288,97,6.186980133582889,0,1.0
291,97,9.778527548112859,1,1.0
338,104,8.162725910336732,1,1.0
293,105,6.24142967434071,0,1.0
329,91,7.850854954015402,0,1.0
316,90,6.152572925405002,1,1.0
300,101,6.27037875746133,1,1.0
317,112,8.115359380141241,0,1.0
324,114,6.991514894610464,1,1.0
316,112,7.259318846119034,0,1.0
279,92,7.817498439816698,0,1.0
330,102,8.955919840018193,1,1.0
336,119,6.687186018930898,0,1.0
315,97,7.28474563415631,1,1.0
318,103,9.177545970142791,1,1.0
324,101,7.4846525937296455,0,1.0
316,115,6.561227917248198,0,1.0
261,113,9.137590689257685,1,1.0
296,94,7.577585553725948,0,1.0
276,117,6.061440927945046,1,1.0
318,91,6.837261051826889,0,1.0
326,119,7.126096309038932,1,1.0
273,93,9.46892943611688,1,1.0
297,96,7.830633334684332,1,1.0
330,118,9.33248338746916,0,1.0
318,105,7.675802524049537,1,1.0
285,116,9.25983584688164,0,1.0
313,101,6.0984086280265455,0,1.0
269,99,7.9850171480260705,1,1.0
